date,pakistan_west,china_east,gulf_energy,us_trade,shipping,composite
2022-06-29,21.11,85.0,43.89,20.56,28.33,39.78
2022-06-30,4.42,92.27,46.96,4.42,38.67,37.35
2022-07-01,20.88,86.81,45.05,20.33,13.19,37.25
2022-07-02,45.36,17.49,36.07,43.17,63.93,41.2
2022-07-03,28.26,18.48,27.72,25.0,78.26,35.54
2022-07-04,66.49,77.84,38.38,65.41,62.7,62.16
2022-07-05,20.43,37.63,47.85,19.35,52.15,35.48
2022-07-06,28.88,42.78,71.12,27.81,61.5,46.42
2022-07-07,28.19,36.7,58.51,26.06,9.04,31.7
2022-07-08,82.54,92.59,31.22,79.37,82.54,73.65
2022-07-09,95.79,42.11,24.74,95.26,68.42,65.26
2022-07-10,96.86,82.72,45.55,96.86,81.15,80.63
2022-07-11,93.23,86.46,34.38,91.67,43.75,69.9
2022-07-12,53.37,67.88,41.45,51.3,37.82,50.36
2022-07-13,83.51,70.1,78.35,81.96,16.49,66.08
2022-07-14,91.79,26.67,64.1,90.26,17.95,58.15
2022-07-15,91.33,76.53,73.98,90.82,37.76,74.08
2022-07-16,70.56,64.97,82.74,68.53,84.77,74.31
2022-07-17,92.93,56.57,62.63,90.4,71.21,74.75
2022-07-18,68.34,82.91,57.29,65.33,38.69,62.51
2022-07-19,43.0,43.5,42.5,41.0,31.0,40.2
2022-07-20,51.74,39.8,45.27,51.74,13.43,40.4
2022-07-21,58.42,76.73,41.09,63.37,12.87,50.5
2022-07-22,36.95,42.86,29.56,35.96,75.86,44.24
2022-07-23,48.04,11.76,20.1,44.12,88.24,42.45
2022-07-24,61.46,39.51,20.0,63.41,80.98,53.07
2022-07-25,51.94,81.07,26.7,48.54,40.29,49.71
2022-07-26,38.16,85.51,37.68,35.75,25.12,44.44
2022-07-27,25.48,91.83,35.1,23.56,23.08,39.81
2022-07-28,17.22,84.21,37.32,16.75,6.7,32.44
2022-07-29,20.48,97.14,30.0,18.1,9.52,35.05
2022-07-30,49.76,69.67,6.64,46.45,60.66,46.64
2022-07-31,51.42,77.83,4.25,48.58,88.21,54.06
2022-08-01,81.69,99.06,41.31,79.34,20.19,64.32
2022-08-02,58.41,100.0,41.12,58.41,74.77,66.54
2022-08-03,33.02,99.53,42.33,34.88,38.14,49.58
2022-08-04,33.8,99.07,45.37,35.19,53.24,53.33
2022-08-05,61.29,98.62,31.8,64.98,42.86,59.91
2022-08-06,63.3,94.04,33.49,61.01,93.58,69.08
2022-08-07,85.39,95.89,69.41,83.11,91.32,85.02
2022-08-08,55.0,97.27,57.27,54.55,61.82,65.18
2022-08-09,7.69,89.14,42.99,6.79,53.85,40.09
2022-08-10,20.72,84.23,40.09,20.27,43.24,41.71
2022-08-11,43.5,62.33,60.54,41.7,36.77,48.97
2022-08-12,87.95,48.21,34.82,86.61,58.93,63.3
2022-08-13,100.0,7.56,19.11,99.56,89.33,63.11
2022-08-14,100.0,26.99,17.26,99.56,94.25,67.61
2022-08-15,95.59,94.27,36.12,95.59,51.1,74.54
2022-08-16,78.95,62.72,35.09,78.51,31.58,57.37
2022-08-17,57.64,52.4,31.88,57.21,31.88,46.2
2022-08-18,57.39,58.26,23.48,56.96,28.26,44.87
2022-08-19,52.81,28.57,22.94,51.08,16.88,34.46
2022-08-20,76.29,7.33,9.91,73.71,80.17,49.48
2022-08-21,90.13,10.73,15.88,87.98,87.98,58.54
2022-08-22,86.32,52.14,33.33,83.76,45.73,60.26
2022-08-23,51.06,33.62,29.79,46.81,27.23,37.7
2022-08-24,68.22,41.53,36.86,64.83,38.98,50.08
2022-08-25,59.49,65.4,37.97,64.98,38.82,53.33
2022-08-26,53.78,64.29,44.54,52.1,7.98,44.54
2022-08-27,92.89,15.06,18.41,90.79,20.92,47.62
2022-08-28,94.58,29.17,22.08,94.17,19.58,51.92
2022-08-29,86.72,50.21,48.55,86.72,19.09,58.26
2022-08-30,52.07,76.03,53.72,52.07,10.33,48.84
2022-08-31,28.4,45.27,30.45,25.51,1.65,26.26
2022-09-01,40.57,86.07,49.59,41.8,17.62,47.13
2022-09-02,53.06,70.2,65.31,53.06,71.43,62.61
2022-09-03,71.54,18.7,63.41,66.67,65.04,57.07
2022-09-04,94.74,20.65,60.32,94.33,66.8,67.37
2022-09-05,85.89,88.71,76.21,84.27,58.47,78.71
2022-09-06,90.36,73.09,67.87,92.77,21.69,69.16
2022-09-07,82.0,60.0,67.2,81.6,28.0,63.76
2022-09-08,79.68,17.53,39.84,79.68,7.97,44.94
2022-09-09,92.06,48.81,19.44,90.48,3.57,50.87
2022-09-10,77.47,1.98,3.56,74.31,18.18,35.1
2022-09-11,93.31,3.54,15.75,92.52,81.5,57.32
2022-09-12,77.65,3.14,33.73,75.29,16.47,41.25
2022-09-13,78.12,10.94,28.12,76.56,19.14,42.58
2022-09-14,84.82,32.3,54.09,83.27,14.79,53.85
2022-09-15,94.57,87.98,37.6,94.19,17.44,66.36
2022-09-16,97.68,96.14,29.34,97.68,6.18,65.41
2022-09-17,100.0,45.77,18.85,100.0,39.62,60.85
2022-09-18,91.95,72.03,9.2,91.19,44.44,61.76
2022-09-19,86.26,82.82,25.19,85.11,27.86,61.45
2022-09-20,89.73,60.84,30.42,87.83,8.75,55.51
2022-09-21,90.15,48.48,40.91,87.88,18.18,57.12
2022-09-22,95.09,40.0,30.57,95.47,18.49,55.92
2022-09-23,96.24,75.94,28.57,96.24,25.56,64.51
2022-09-24,97.75,35.21,24.34,97.75,43.82,59.78
2022-09-25,95.52,27.99,11.57,95.52,47.01,55.52
2022-09-26,92.19,23.79,29.74,91.82,24.54,52.42
2022-09-27,93.7,67.78,32.22,93.7,40.37,65.56
2022-09-28,82.66,20.3,43.54,82.29,52.77,56.31
2022-09-29,80.15,19.12,29.04,80.15,13.24,44.34
2022-09-30,92.67,19.78,22.34,93.41,60.44,57.73
2022-10-01,98.54,23.72,17.88,98.54,84.31,64.6
2022-10-02,94.18,5.45,12.73,94.18,65.82,54.47
2022-10-03,80.07,0.72,36.23,79.35,13.04,41.88
2022-10-04,53.79,0.36,23.47,51.99,7.94,27.51
2022-10-05,3.24,0.72,66.91,3.24,12.23,17.27
2022-10-06,77.42,0.72,75.99,81.36,62.72,59.64
2022-10-07,75.0,1.43,61.43,74.64,51.79,52.86
2022-10-08,93.24,77.94,56.58,94.31,90.39,82.49
2022-10-09,75.53,39.72,34.04,74.47,95.74,63.9
2022-10-10,91.52,19.08,57.6,93.99,95.76,71.59
2022-10-11,84.86,32.39,66.9,88.38,82.75,71.06
2022-10-12,76.49,20.7,83.51,76.84,63.86,64.28
2022-10-13,90.21,34.97,56.29,91.61,63.64,67.34
2022-10-14,63.41,21.6,53.66,63.41,31.71,46.76
2022-10-15,97.57,33.68,37.85,97.57,76.39,68.61
2022-10-16,87.54,98.62,36.33,86.16,84.78,78.69
